EPI_ID,CLASS
EPI00001559,1
EPI00001870,1
EPI00001871,1
EPI00001868,0
EPI00001726,0
EPI00001867,1
EPI00001869,0
EPI00003035,0
EPI00003112,0
EPI00003113,0
EPI00003055,0
EPI00003115,0
EPI00003116,0
EPI00003117,0
EPI00003118,0
EPI00003123,0
EPI00003124,0
EPI00003137,0
EPI00003138,0
EPI00003125,0
EPI00003139,0
EPI00003051,0
EPI00003054,0
EPI00001857,0
EPI00001858,0
EPI00001851,0
EPI00001848,1
EPI00001849,1
EPI00001850,0
EPI00003045,1
EPI00003046,0
EPI00003047,0
EPI00003048,0
EPI00003049,0
EPI00003050,0
EPI00001853,0
EPI00001855,1
EPI00001856,1
EPI00001852,0
EPI00001854,0
EPI00001761,1
EPI00001763,1
EPI00001758,1
EPI00001759,1
EPI00001760,1
EPI00001754,1
EPI00001756,1
EPI00001757,0
EPI00001748,0
EPI00001749,0
EPI00001755,1
EPI00001746,1
EPI00001750,0
EPI00001751,0
EPI00001753,1
EPI00001675,0
EPI00001592,0
EPI00001595,1
EPI00001596,1
EPI00001593,1
EPI00001594,1
EPI00001701,0
EPI00001702,0
EPI00001700,0
EPI00001703,0
EPI00001799,1
EPI00001706,0
EPI00001707,0
EPI00001704,0
EPI00001705,0
EPI00001699,1
EPI00001698,0
EPI00001693,1
EPI00001694,1
EPI00001695,1
EPI00001697,1
EPI00001834,1
EPI00001599,0
EPI00001601,0
EPI00001602,1
EPI00001603,0
EPI00001743,1
EPI00001742,1
EPI00001744,1
EPI00001612,0
EPI00001687,1
EPI00001692,1
EPI00001690,0
EPI00001691,0
EPI00001611,0
EPI00001686,0
EPI00001688,0
EPI00001689,0
EPI00001684,1
EPI00001580,0
EPI00001524,0
EPI00001527,0
EPI00001529,0
EPI00001528,0
EPI00001526,1
EPI00003008,0
EPI00003009,0
EPI00001523,0
EPI00001521,1
EPI00001519,1
EPI00001520,0
EPI00001517,0
EPI00001518,0
EPI00001522,0
EPI00001584,1
EPI00001585,0
EPI00001589,0
EPI00001590,1
EPI00001586,1
EPI00001588,1
EPI00001583,0
EPI00001587,0
EPI00003012,1
EPI00003010,0
EPI00003011,0
EPI00001554,1
EPI00001555,1
EPI00001556,1
EPI00001557,0
EPI00001548,1
EPI00001549,1
EPI00001550,1
EPI00001551,0
EPI00001552,0
EPI00001546,0
EPI00001562,1
EPI00001565,1
EPI00001582,0
EPI00001564,0
EPI00001561,1
EPI00001563,1
EPI00001566,1
EPI00001571,1
EPI00001572,1
EPI00001574,0
EPI00001579,0
EPI00001570,0
EPI00001575,0
EPI00001573,0
EPI00001567,0
EPI00001568,1
EPI00001569,1
EPI00001532,1
EPI00001543,0
EPI00001533,0
EPI00001534,0
EPI00001535,0
EPI00001541,0
EPI00001537,0
EPI00001544,0
EPI00001538,0
EPI00001539,0
EPI00001536,0
EPI00001545,0
EPI00001540,1
EPI00001542,0
EPI00001830,1
EPI00001831,1
EPI00001833,0
EPI00001832,0
EPI00001768,0
EPI00001769,0
EPI00001765,0
EPI00001766,0
EPI00001767,0
EPI00001764,0
EPI00001780,1
EPI00001779,1
EPI00001776,1
EPI00001781,1
EPI00001782,1
EPI00001777,0
EPI00001778,0
EPI00001774,0
EPI00001775,1
EPI00001772,0
EPI00001773,0
EPI00001771,0
EPI00001770,0
EPI00001710,1
EPI00001708,0
EPI00001709,0
EPI00001713,1
EPI00001714,1
EPI00001717,0
EPI00001718,0
EPI00001715,0
EPI00001716,0
EPI00001711,0
EPI00001712,0
EPI00003015,0
EPI00003017,2
EPI00003023,0
EPI00003027,0
EPI00003028,0
EPI00003016,0
EPI00003018,0
EPI00003019,0
EPI00003020,0
EPI00003021,0
EPI00003024,0
EPI00003025,0
EPI00003026,0
EPI00003029,0
EPI00003030,0
EPI00003022,2
EPI00001635,1
EPI00001636,1
EPI00001633,1
EPI00001634,1
EPI00001639,1
EPI00001640,1
EPI00001637,1
EPI00001638,1
EPI00003119,1
EPI00003121,0
EPI00003122,0
EPI00003126,0
EPI00003127,0
EPI00003128,0
EPI00003129,0
EPI00003130,0
EPI00003131,0
EPI00003132,0
EPI00003133,0
EPI00003134,0
EPI00003135,0
EPI00003136,0
EPI00003142,0
EPI00003143,0
EPI00003144,0
EPI00001734,1
EPI00001735,1
EPI00001736,1
EPI00001737,1
EPI00001738,0
EPI00001739,0
EPI00001740,0
EPI00001733,0
EPI00001729,1
EPI00001730,1
EPI00001732,0
EPI00001731,0
EPI00001720,0
EPI00001721,0
EPI00001723,0
EPI00001719,0
EPI00001784,1
EPI00001785,0
EPI00001783,0
EPI00001616,1
EPI00001617,1
EPI00001618,1
EPI00001619,1
EPI00001620,1
EPI00001621,0
EPI00001613,0
EPI00001614,0
EPI00001615,0
EPI00001622,0
EPI00001623,0
EPI00001624,0
EPI00001625,0
EPI00001606,1
EPI00001607,1
EPI00001604,0
EPI00001605,0
EPI00001627,1
EPI00001628,1
