EPI_ID,CLASS
EPI00001559,0
EPI00001870,1
EPI00001871,1
EPI00001868,1
EPI00001726,1
EPI00001867,0
EPI00001869,1
EPI00003035,1
EPI00003112,1
EPI00003113,1
EPI00003055,1
EPI00003115,1
EPI00003116,1
EPI00003117,1
EPI00003118,1
EPI00003123,1
EPI00003124,1
EPI00003137,1
EPI00003138,1
EPI00003125,2
EPI00003139,1
EPI00003051,1
EPI00003054,1
EPI00001857,1
EPI00001858,1
EPI00001851,1
EPI00001848,1
EPI00001849,1
EPI00001850,1
EPI00003045,1
EPI00003046,1
EPI00003047,1
EPI00003048,1
EPI00003049,1
EPI00003050,1
EPI00001853,1
EPI00001855,1
EPI00001856,1
EPI00001852,1
EPI00001854,1
EPI00001761,1
EPI00001763,0
EPI00001758,1
EPI00001759,1
EPI00001760,1
EPI00001754,1
EPI00001756,2
EPI00001757,1
EPI00001748,1
EPI00001749,1
EPI00001755,1
EPI00001746,1
EPI00001750,1
EPI00001751,2
EPI00001753,1
EPI00001675,0
EPI00001592,1
EPI00001595,1
EPI00001596,1
EPI00001593,1
EPI00001594,1
EPI00001701,1
EPI00001702,1
EPI00001700,1
EPI00001703,1
EPI00001799,1
EPI00001706,1
EPI00001707,1
EPI00001704,1
EPI00001705,0
EPI00001699,2
EPI00001698,2
EPI00001693,0
EPI00001694,1
EPI00001695,0
EPI00001697,0
EPI00001834,1
EPI00001599,1
EPI00001601,1
EPI00001602,1
EPI00001603,1
EPI00001743,1
EPI00001742,1
EPI00001744,1
EPI00001612,1
EPI00001687,1
EPI00001692,1
EPI00001690,1
EPI00001691,1
EPI00001611,1
EPI00001686,2
EPI00001688,1
EPI00001689,1
EPI00001684,1
EPI00001580,1
EPI00001524,1
EPI00001527,1
EPI00001529,1
EPI00001528,1
EPI00001526,1
EPI00003008,1
EPI00003009,1
EPI00001523,1
EPI00001521,1
EPI00001519,1
EPI00001520,1
EPI00001517,1
EPI00001518,1
EPI00001522,1
EPI00001584,1
EPI00001585,1
EPI00001589,1
EPI00001590,1
EPI00001586,1
EPI00001588,1
EPI00001583,1
EPI00001587,1
EPI00003012,1
EPI00003010,1
EPI00003011,1
EPI00001554,1
EPI00001555,0
EPI00001556,0
EPI00001557,0
EPI00001548,1
EPI00001549,2
EPI00001550,2
EPI00001551,1
EPI00001552,1
EPI00001546,1
EPI00001562,1
EPI00001565,1
EPI00001582,1
EPI00001564,1
EPI00001561,1
EPI00001563,1
EPI00001566,1
EPI00001571,1
EPI00001572,1
EPI00001574,1
EPI00001579,1
EPI00001570,1
EPI00001575,1
EPI00001573,1
EPI00001567,1
EPI00001568,1
EPI00001569,0
EPI00001532,1
EPI00001543,1
EPI00001533,1
EPI00001534,1
EPI00001535,0
EPI00001541,1
EPI00001537,1
EPI00001544,1
EPI00001538,1
EPI00001539,1
EPI00001536,1
EPI00001545,1
EPI00001540,1
EPI00001542,1
EPI00001830,1
EPI00001831,0
EPI00001833,0
EPI00001832,1
EPI00001768,1
EPI00001769,1
EPI00001765,1
EPI00001766,1
EPI00001767,0
EPI00001764,1
EPI00001780,1
EPI00001779,1
EPI00001776,1
EPI00001781,1
EPI00001782,1
EPI00001777,1
EPI00001778,1
EPI00001774,1
EPI00001775,1
EPI00001772,1
EPI00001773,1
EPI00001771,1
EPI00001770,1
EPI00001710,1
EPI00001708,1
EPI00001709,2
EPI00001713,1
EPI00001714,0
EPI00001717,1
EPI00001718,0
EPI00001715,1
EPI00001716,0
EPI00001711,1
EPI00001712,2
EPI00003015,1
EPI00003017,1
EPI00003023,1
EPI00003027,1
EPI00003028,1
EPI00003016,1
EPI00003018,1
EPI00003019,1
EPI00003020,0
EPI00003021,1
EPI00003024,1
EPI00003025,1
EPI00003026,1
EPI00003029,1
EPI00003030,1
EPI00003022,1
EPI00001635,1
EPI00001636,1
EPI00001633,1
EPI00001634,1
EPI00001639,1
EPI00001640,1
EPI00001637,1
EPI00001638,2
EPI00003119,1
EPI00003121,1
