EPI_ID,CLASS
EPI00001559,2
EPI00001870,2
EPI00001871,0
EPI00001868,0
EPI00001726,0
EPI00001867,0
EPI00001869,0
EPI00003035,3
EPI00003112,3
EPI00003113,3
EPI00003055,3
EPI00003115,0
EPI00003116,0
EPI00003117,3
EPI00003118,0
EPI00003123,0
EPI00003124,0
EPI00003137,3
EPI00003138,3
EPI00003125,3
EPI00003139,0
EPI00003051,3
EPI00003054,0
EPI00001857,0
EPI00001858,0
EPI00001851,0
EPI00001848,0
EPI00001849,0
EPI00001850,0
EPI00003045,0
EPI00003046,0
EPI00003047,0
EPI00003048,0
EPI00003049,0
EPI00003050,3
EPI00001853,0
EPI00001855,2
EPI00001856,0
EPI00001852,0
EPI00001854,0
EPI00001761,0
EPI00001763,0
EPI00001758,2
EPI00001759,0
EPI00001760,0
EPI00001754,0
EPI00001756,0
EPI00001757,0
EPI00001748,0
EPI00001749,0
EPI00001755,0
EPI00001746,0
EPI00001750,0
EPI00001751,0
EPI00001753,0
EPI00001675,2
EPI00001592,0
EPI00001595,0
EPI00001596,0
EPI00001593,0
EPI00001594,0
EPI00001701,0
EPI00001702,0
EPI00001700,0
EPI00001703,0
EPI00001799,0
EPI00001706,0
EPI00001707,0
EPI00001704,0
EPI00001705,0
EPI00001699,2
EPI00001698,2
EPI00001693,0
EPI00001694,2
EPI00001695,0
EPI00001697,0
EPI00001834,2
EPI00001599,0
EPI00001601,0
EPI00001602,2
EPI00001603,0
EPI00001743,0
EPI00001742,0
EPI00001744,0
EPI00001612,0
EPI00001687,2
EPI00001692,0
EPI00001690,2
EPI00001691,0
EPI00001611,2
EPI00001686,0
EPI00001688,0
EPI00001689,0
EPI00001684,0
EPI00001580,2
EPI00001524,0
EPI00001527,0
EPI00001529,0
EPI00001528,0
EPI00001526,0
EPI00003008,0
EPI00003009,0
EPI00001523,2
EPI00001521,2
EPI00001519,0
EPI00001520,2
EPI00001517,0
EPI00001518,0
EPI00001522,0
EPI00001584,0
EPI00001585,0
EPI00001589,0
EPI00001590,0
EPI00001586,0
EPI00001588,0
EPI00001583,0
EPI00001587,0
EPI00003012,3
EPI00003010,3
EPI00003011,3
EPI00001554,2
EPI00001555,0
EPI00001556,0
EPI00001557,0
EPI00001548,0
EPI00001549,0
EPI00001550,0
EPI00001551,0
EPI00001552,0
EPI00001546,0
EPI00001562,0
EPI00001565,0
EPI00001582,0
EPI00001564,0
EPI00001561,0
EPI00001563,0
EPI00001566,0
EPI00001571,0
EPI00001572,0
EPI00001574,0
EPI00001579,2
EPI00001570,0
EPI00001575,0
EPI00001573,0
EPI00001567,0
EPI00001568,0
EPI00001569,0
EPI00001532,2
EPI00001543,0
EPI00001533,0
EPI00001534,0
EPI00001535,0
EPI00001541,0
EPI00001537,0
EPI00001544,0
EPI00001538,0
EPI00001539,0
EPI00001536,0
EPI00001545,0
EPI00001540,0
EPI00001542,0
EPI00001830,0
EPI00001831,0
EPI00001833,0
EPI00001832,0
EPI00001768,2
EPI00001769,0
EPI00001765,0
EPI00001766,2
EPI00001767,0
EPI00001764,0
EPI00001780,0
EPI00001779,0
EPI00001776,0
EPI00001781,0
EPI00001782,0
EPI00001777,0
EPI00001778,0
EPI00001774,0
EPI00001775,0
EPI00001772,2
EPI00001773,0
EPI00001771,0
EPI00001770,0
EPI00001710,0
EPI00001708,0
EPI00001709,0
EPI00001713,2
EPI00001714,0
EPI00001717,0
EPI00001718,0
EPI00001715,0
EPI00001716,0
EPI00001711,0
EPI00001712,0
EPI00003015,3
EPI00003017,3
EPI00003023,3
EPI00003027,3
EPI00003028,3
EPI00003016,3
EPI00003018,3
EPI00003019,3
EPI00003020,3
EPI00003021,3
EPI00003024,3
EPI00003025,3
EPI00003026,3
EPI00003029,3
EPI00003030,3
EPI00003022,2
EPI00001635,0
EPI00001636,0
EPI00001633,0
EPI00001634,0
EPI00001639,0
EPI00001640,0
EPI00001637,0
EPI00001638,0
EPI00003119,3
EPI00003121,3
EPI00003122,0
EPI00003126,3
EPI00003127,0
EPI00003128,3
EPI00003129,0
EPI00003130,3
EPI00003131,0
EPI00003132,3
EPI00003133,0
EPI00003134,0
EPI00003135,0
EPI00003136,0
EPI00003142,0
EPI00003143,0
EPI00003144,0
EPI00001734,2
EPI00001735,0
EPI00001736,0
EPI00001737,0
EPI00001738,0
EPI00001739,0
EPI00001740,0
EPI00001733,0
EPI00001729,2
EPI00001730,0
EPI00001732,0
EPI00001731,0
EPI00001720,0
EPI00001721,0
EPI00001723,0
EPI00001719,0
EPI00001784,2
EPI00001785,2
EPI00001783,0
EPI00001616,0
EPI00001617,0
EPI00001618,0
EPI00001619,0
EPI00001620,2
EPI00001621,0
EPI00001613,0
EPI00001614,0
EPI00001615,0
EPI00001622,0
EPI00001623,0
EPI00001624,0
EPI00001625,0
EPI00001606,0
EPI00001607,0
EPI00001604,0
EPI00001605,0
EPI00001627,2
EPI00001628,0
EPI00001629,0
EPI00001630,0
EPI00001631,0
EPI00001626,0
EPI00003039,0
EPI00003040,0
EPI00003041,0
EPI00003042,0
EPI00003043,3
EPI00003044,0
EPI00001791,0
EPI00001794,0
EPI00001797,0
EPI00001789,0
EPI00001795,0
EPI00001787,0
EPI00001788,0
EPI00001793,0
EPI00001790,0
EPI00003031,3
EPI00003032,3
EPI00003034,3
EPI00003036,3
EPI00003037,3
EPI00003038,3
EPI00003033,3
EPI00001645,0
EPI00001648,0
EPI00001647,0
EPI00001643,0
EPI00001644,0
EPI00001646,0
EPI00001654,0
EPI00001656,0
EPI00001660,2
EPI00001661,0
EPI00001662,0
EPI00001663,0
EPI00001664,0
EPI00001665,0
EPI00001666,0
EPI00001667,0
EPI00001671,0
EPI00001672,0
EPI00001673,0
EPI00001674,0
EPI00001657,0
EPI00001658,0
EPI00001659,0
EPI00001651,0
EPI00001652,0
EPI00001653,0
EPI00001676,0
EPI00001677,0
EPI00001668,0
EPI00001669,0
EPI00001670,0
EPI00001683,0
EPI00001682,0
EPI00001786,0
EPI00001649,2
EPI00001650,0
EPI00001841,0
EPI00001847,0
EPI00001843,0
EPI00001842,0
EPI00001846,0
EPI00001724,0
EPI00001845,0
EPI00001840,2
EPI00001838,0
EPI00001839,0
EPI00001558,0
EPI00001679,0
EPI00001681,0
EPI00001678,2
EPI00001837,2
EPI00001836,2
EPI00001823,0
EPI00001824,0
EPI00001816,0
EPI00001818,0
EPI00001825,0
EPI00001821,0
EPI00001826,0
EPI00001819,0
EPI00001817,0
EPI00001762,0
EPI00001827,0
EPI00001828,0
EPI00001822,0
EPI00001813,0
EPI00001814,0
EPI00001815,0
EPI00001804,2
EPI00001805,0
EPI00001806,0
EPI00001803,0
EPI00001812,0
EPI00001809,0
EPI00001800,0
EPI00001801,0
EPI00001802,0
EPI00001844,0
EPI00001608,0
EPI00001609,0
EPI00001680,2
EPI00001600,0
EPI00001581,0
EPI00003578,3
EPI00000606,2
EPI00000607,2
EPI00000608,2
EPI00000133,2
EPI00000134,2
EPI00000136,2
EPI00000161,2
EPI00000158,2
EPI00000609,2
EPI00000610,2
EPI00000137,2
EPI00000138,2
EPI00000139,2
EPI00000140,2
EPI00000141,2
EPI00000142,2
EPI00000143,2
EPI00000144,2
EPI00000146,2
EPI00000147,2
EPI00000148,2
EPI00000149,2
EPI00000150,2
EPI00000611,2
EPI00000612,2
EPI00000613,2
EPI00000614,2
EPI00000615,2
EPI00000616,2
EPI00000617,2
EPI00000151,2
EPI00000152,2
EPI00000618,2
EPI00000619,2
EPI00000620,2
EPI00000153,2
EPI00000154,2
EPI00000155,2
EPI00000156,2
EPI00000157,2
EPI00000621,2
EPI00000622,2
EPI00001859,2
EPI00003059,3
EPI00003061,3
EPI00003056,1
EPI00003057,3
EPI00003058,3
EPI00000011,2
EPI00003060,3
EPI00003062,1
EPI00003063,3
EPI00003064,3
EPI00003065,1
EPI00003066,3
EPI00003067,3
EPI00003068,3
EPI00003069,1
EPI00003070,3
EPI00003071,3
EPI00003072,1
EPI00003073,2
EPI00003074,2
EPI00003075,3
EPI00003076,4
EPI00003077,1
EPI00003078,2
EPI00003079,2
EPI00003080,2
EPI00001860,2
EPI00003081,3
EPI00003082,3
EPI00003083,3
EPI00003084,3
EPI00001861,2
EPI00000012,2
EPI00003090,3
EPI00003085,4
EPI00003086,3
EPI00003087,3
EPI00003088,3
EPI00003089,3
EPI00001862,2
EPI00003091,3
EPI00003092,3
EPI00003093,3
EPI00000013,2
EPI00001863,2
EPI00000014,2
EPI00003094,3
EPI00000015,2
EPI00001864,2
EPI00003095,2
EPI00003096,2
EPI00003097,4
EPI00003098,2
EPI00003099,2
EPI00003100,2
EPI00003101,2
EPI00003102,2
EPI00003103,3
EPI00003104,3
EPI00000016,2
EPI00003106,1
EPI00000017,2
EPI00003105,3
EPI00003107,3
EPI00003108,3
EPI00003109,3
EPI00003110,3
EPI00000018,2
EPI00003111,1
EPI00000019,2
EPI00000159,2
EPI00000135,2
EPI00000145,2
EPI00000160,2
EPI00000623,2
EPI00001727,0
EPI00001728,0
EPI00001553,0
EPI00001591,0
EPI00001741,0
EPI00001835,0
EPI00003007,3
EPI00001525,0
EPI00001547,0
EPI00001745,0
EPI00001576,0
EPI00001577,0
EPI00001578,0
EPI00001531,2
EPI00003013,0
EPI00003014,0
EPI00001642,0
EPI00001610,0
EPI00001798,0
EPI00001632,0
EPI00001641,0
EPI00001685,0
EPI00001873,0
EPI00001696,2
EPI00001829,0
EPI00001722,0
EPI00001560,0
EPI00001752,0
EPI00003580,0
EPI00001792,0
EPI00001796,2
EPI00003006,3
EPI00001598,0
EPI00001808,0
EPI00001810,0
EPI00001811,0
EPI00001807,0
EPI00001820,0
EPI00001530,0
EPI00001597,0
EPI00003053,3
EPI00003052,3
EPI00003140,0
EPI00003114,3
EPI00001725,0
EPI00001865,0
EPI00001866,0
EPI00003141,3
EPI00003120,3
