EPI_ID,CLASS
EPI00001559,3
EPI00001870,3
EPI00001871,3
EPI00001868,3
EPI00001726,3
EPI00001867,3
EPI00001869,3
EPI00003035,3
EPI00003112,3
EPI00003113,4
EPI00003055,4
EPI00003115,3
EPI00003116,3
EPI00003117,3
EPI00003118,3
EPI00003123,3
EPI00003124,3
EPI00003137,3
EPI00003138,3
EPI00003125,3
EPI00003139,3
EPI00003051,3
EPI00003054,3
EPI00001857,3
EPI00001858,3
EPI00001851,3
EPI00001848,3
EPI00001849,3
EPI00001850,3
EPI00003045,3
EPI00003046,3
EPI00003047,3
EPI00003048,3
EPI00003049,3
EPI00003050,2
EPI00001853,3
EPI00001855,3
EPI00001856,3
EPI00001852,3
EPI00001854,3
EPI00001761,3
EPI00001763,3
EPI00001758,3
EPI00001759,3
EPI00001760,3
EPI00001754,3
EPI00001756,3
EPI00001757,3
EPI00001748,3
EPI00001749,3
EPI00001755,3
EPI00001746,3
EPI00001750,3
EPI00001751,3
EPI00001753,3
EPI00001675,3
EPI00001592,3
EPI00001595,3
EPI00001596,3
EPI00001593,3
EPI00001594,3
EPI00001701,3
EPI00001702,3
EPI00001700,3
EPI00001703,3
EPI00001799,3
EPI00001706,3
EPI00001707,3
EPI00001704,3
EPI00001705,3
EPI00001699,3
EPI00001698,3
EPI00001693,3
EPI00001694,3
EPI00001695,3
EPI00001697,3
EPI00001834,3
EPI00001599,3
EPI00001601,3
EPI00001602,3
EPI00001603,3
EPI00001743,3
EPI00001742,3
EPI00001744,3
EPI00001612,3
EPI00001687,3
EPI00001692,3
EPI00001690,3
EPI00001691,3
EPI00001611,3
EPI00001686,3
EPI00001688,3
EPI00001689,3
EPI00001684,3
EPI00001580,3
EPI00001524,3
EPI00001527,3
EPI00001529,3
EPI00001528,3
EPI00001526,3
EPI00003008,3
EPI00003009,3
EPI00001523,3
EPI00001521,3
EPI00001519,3
EPI00001520,3
EPI00001517,3
EPI00001518,3
EPI00001522,3
EPI00001584,3
EPI00001585,3
EPI00001589,3
EPI00001590,3
EPI00001586,3
EPI00001588,3
EPI00001583,3
EPI00001587,3
EPI00003012,2
EPI00003010,4
EPI00003011,4
EPI00001554,3
EPI00001555,3
EPI00001556,3
EPI00001557,3
EPI00001548,3
EPI00001549,3
EPI00001550,3
EPI00001551,3
EPI00001552,3
EPI00001546,3
EPI00001562,3
EPI00001565,3
EPI00001582,3
EPI00001564,3
EPI00001561,3
EPI00001563,3
EPI00001566,3
EPI00001571,3
EPI00001572,3
EPI00001574,3
EPI00001579,3
EPI00001570,3
EPI00001575,3
EPI00001573,3
EPI00001567,3
EPI00001568,3
EPI00001569,3
EPI00001532,3
EPI00001543,3
EPI00001533,3
EPI00001534,3
EPI00001535,3
EPI00001541,3
EPI00001537,3
EPI00001544,3
EPI00001538,3
EPI00001539,3
EPI00001536,3
EPI00001545,3
EPI00001540,3
EPI00001542,3
EPI00001830,3
EPI00001831,3
EPI00001833,3
EPI00001832,3
EPI00001768,3
EPI00001769,3
EPI00001765,3
EPI00001766,3
EPI00001767,3
EPI00001764,3
EPI00001780,3
EPI00001779,3
EPI00001776,3
EPI00001781,3
EPI00001782,3
EPI00001777,3
EPI00001778,3
EPI00001774,3
EPI00001775,3
EPI00001772,3
EPI00001773,3
EPI00001771,3
EPI00001770,3
EPI00001710,3
EPI00001708,3
EPI00001709,3
EPI00001713,4
EPI00001714,3
EPI00001717,3
EPI00001718,3
EPI00001715,3
EPI00001716,3
EPI00001711,3
EPI00001712,3
EPI00003015,3
EPI00003017,2
EPI00003023,3
EPI00003027,2
EPI00003028,2
EPI00003016,3
EPI00003018,3
EPI00003019,2
EPI00003020,3
EPI00003021,3
EPI00003024,3
EPI00003025,3
EPI00003026,2
EPI00003029,3
EPI00003030,3
EPI00003022,2
EPI00001635,3
EPI00001636,3
EPI00001633,3
EPI00001634,3
EPI00001639,3
EPI00001640,3
EPI00001637,3
EPI00001638,3
EPI00003119,2
EPI00003121,3
EPI00003122,3
EPI00003126,3
EPI00003127,3
EPI00003128,4
EPI00003129,3
EPI00003130,3
EPI00003131,3
EPI00003132,3
EPI00003133,3
EPI00003134,3
EPI00003135,3
EPI00003136,3
EPI00003142,3
EPI00003143,3
EPI00003144,3
EPI00001734,3
EPI00001735,3
EPI00001736,3
EPI00001737,3
EPI00001738,3
EPI00001739,3
EPI00001740,3
EPI00001733,3
EPI00001729,4
EPI00001730,3
EPI00001732,3
EPI00001731,3
EPI00001720,3
EPI00001721,3
EPI00001723,3
EPI00001719,3
EPI00001784,4
EPI00001785,4
EPI00001783,3
EPI00001616,3
EPI00001617,3
EPI00001618,3
EPI00001619,3
EPI00001620,3
EPI00001621,3
EPI00001613,3
EPI00001614,3
EPI00001615,3
EPI00001622,3
EPI00001623,3
EPI00001624,3
EPI00001625,3
EPI00001606,3
EPI00001607,3
EPI00001604,3
EPI00001605,3
EPI00001627,3
EPI00001628,3
EPI00001629,3
EPI00001630,3
EPI00001631,3
EPI00001626,3
EPI00003039,3
EPI00003040,3
EPI00003041,3
EPI00003042,3
EPI00003043,1
EPI00003044,3
EPI00001791,3
EPI00001794,3
EPI00001797,3
EPI00001789,3
EPI00001795,3
EPI00001787,3
EPI00001788,3
EPI00001793,3
EPI00001790,3
EPI00003031,4
EPI00003032,4
EPI00003034,3
EPI00003036,2
EPI00003037,3
EPI00003038,3
EPI00003033,4
EPI00001645,3
EPI00001648,3
EPI00001647,3
EPI00001643,3
EPI00001644,3
EPI00001646,3
EPI00001654,3
EPI00001656,3
EPI00001660,3
EPI00001661,3
EPI00001662,3
EPI00001663,3
EPI00001664,3
EPI00001665,3
EPI00001666,3
EPI00001667,3
EPI00001671,3
EPI00001672,3
EPI00001673,3
EPI00001674,3
EPI00001657,3
EPI00001658,3
EPI00001659,3
EPI00001651,3
EPI00001652,3
EPI00001653,3
EPI00001676,3
EPI00001677,3
EPI00001668,3
EPI00001669,3
EPI00001670,3
EPI00001683,3
EPI00001682,3
EPI00001786,3
EPI00001649,3
EPI00001650,3
EPI00001841,3
EPI00001847,3
EPI00001843,3
EPI00001842,3
EPI00001846,3
EPI00001724,3
EPI00001845,3
EPI00001840,3
EPI00001838,3
EPI00001839,3
EPI00001558,3
EPI00001679,3
EPI00001681,3
EPI00001678,3
EPI00001837,4
EPI00001836,3
EPI00001823,3
EPI00001824,3
EPI00001816,3
EPI00001818,3
EPI00001825,3
EPI00001821,3
EPI00001826,3
EPI00001819,3
EPI00001817,3
EPI00001762,3
