EPI_ID,CLASS
EPI00001559,5
EPI00001870,3
EPI00001871,5
EPI00001868,5
EPI00001726,5
EPI00001867,5
EPI00001869,5
EPI00003035,3
EPI00003112,3
EPI00003113,4
EPI00003055,3
EPI00003115,5
EPI00003116,5
EPI00003117,5
EPI00003118,5
EPI00003123,5
EPI00003124,5
EPI00003137,5
EPI00003138,5
EPI00003125,5
EPI00003139,5
EPI00003051,3
EPI00003054,5
EPI00001857,5
EPI00001858,5
EPI00001851,5
EPI00001848,3
EPI00001849,5
EPI00001850,5
EPI00003045,5
EPI00003046,5
EPI00003047,3
EPI00003048,3
EPI00003049,3
EPI00003050,2
EPI00001853,5
EPI00001855,3
EPI00001856,5
EPI00001852,3
EPI00001854,5
EPI00001761,3
EPI00001763,5
EPI00001758,3
EPI00001759,5
EPI00001760,5
EPI00001754,5
EPI00001756,5
EPI00001757,5
EPI00001748,5
EPI00001749,5
EPI00001755,5
EPI00001746,5
EPI00001750,5
EPI00001751,5
EPI00001753,5
EPI00001675,5
EPI00001592,5
EPI00001595,3
EPI00001596,5
EPI00001593,5
EPI00001594,5
EPI00001701,5
EPI00001702,5
EPI00001700,3
EPI00001703,3
EPI00001799,5
EPI00001706,5
EPI00001707,5
EPI00001704,5
EPI00001705,5
EPI00001699,5
EPI00001698,5
EPI00001693,5
EPI00001694,3
EPI00001695,5
EPI00001697,5
EPI00001834,3
EPI00001599,5
EPI00001601,5
EPI00001602,3
EPI00001603,5
EPI00001743,5
EPI00001742,5
EPI00001744,5
EPI00001612,5
EPI00001687,3
EPI00001692,5
EPI00001690,3
EPI00001691,5
EPI00001611,3
EPI00001686,5
EPI00001688,5
EPI00001689,5
EPI00001684,3
EPI00001580,3
EPI00001524,5
EPI00001527,5
EPI00001529,5
EPI00001528,5
EPI00001526,5
EPI00003008,5
EPI00003009,5
EPI00001523,3
EPI00001521,3
EPI00001519,5
EPI00001520,3
EPI00001517,5
EPI00001518,5
EPI00001522,5
EPI00001584,5
EPI00001585,5
EPI00001589,5
EPI00001590,5
EPI00001586,5
EPI00001588,5
EPI00001583,5
EPI00001587,5
EPI00003012,2
EPI00003010,4
EPI00003011,4
EPI00001554,3
EPI00001555,5
EPI00001556,5
EPI00001557,5
EPI00001548,3
EPI00001549,5
EPI00001550,5
EPI00001551,5
EPI00001552,5
EPI00001546,5
EPI00001562,5
EPI00001565,5
EPI00001582,5
EPI00001564,5
EPI00001561,5
EPI00001563,5
EPI00001566,5
EPI00001571,5
EPI00001572,5
EPI00001574,5
EPI00001579,3
EPI00001570,5
EPI00001575,5
EPI00001573,5
EPI00001567,5
EPI00001568,3
EPI00001569,5
EPI00001532,3
EPI00001543,5
EPI00001533,5
EPI00001534,5
EPI00001535,5
EPI00001541,5
EPI00001537,5
EPI00001544,5
EPI00001538,5
EPI00001539,5
EPI00001536,5
EPI00001545,5
EPI00001540,5
EPI00001542,5
EPI00001830,3
EPI00001831,5
EPI00001833,5
EPI00001832,3
EPI00001768,3
EPI00001769,5
EPI00001765,5
EPI00001766,3
EPI00001767,5
EPI00001764,5
EPI00001780,5
EPI00001779,5
EPI00001776,5
EPI00001781,5
EPI00001782,5
EPI00001777,5
EPI00001778,5
EPI00001774,5
EPI00001775,5
EPI00001772,3
EPI00001773,5
EPI00001771,5
EPI00001770,5
EPI00001710,5
EPI00001708,5
EPI00001709,5
EPI00001713,3
EPI00001714,5
EPI00001717,5
EPI00001718,5
EPI00001715,5
EPI00001716,5
EPI00001711,5
EPI00001712,5
EPI00003015,3
